"","customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","Tenure","MonthlySpend","TotalSpend","Attrition"
"1565","2660-EMUBI","Male","Yes","No","No",10,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.35,898.35,"Yes","7-11","95+","<1000",1
"1566","6968-GMKPR","Female","No","No","No",55,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",81.55,4509.5,"No","25-60","80-95","4000-6000",0
"1567","4751-ERMAN","Male","No","Yes","Yes",72,"Yes","No","DSL","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",75.4,5480.25,"No","60+","70-80","4000-6000",0
"1568","1436-ZMJAN","Female","No","Yes","No",10,"Yes","No","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",67.8,653.15,"No","7-11","45-70","<1000",0
"1569","3292-PBZEJ","Male","Yes","No","No",11,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",111.4,1183.05,"No","7-11","95+","1000-2000",0
"1570","0799-DDIHE","Female","No","Yes","Yes",15,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",46.3,639.45,"No","12-18","45-70","<1000",0
"1571","3070-FNFZQ","Female","No","Yes","Yes",23,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",20.4,478.75,"No","19-24","15-30","<1000",0
"1572","2812-SFXMJ","Male","No","No","Yes",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.05,20.05,"No","< 3","15-30","<1000",0
"1573","7675-OZCZG","Female","Yes","No","No",3,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",45,127.1,"Yes","3-6","30-45","<1000",1
"1574","5014-WUQMG","Male","No","Yes","Yes",47,"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","Yes","One year","Yes","Electronic check",96.1,4391.45,"No","25-60","95+","4000-6000",0
"1575","5312-TSZVC","Female","No","No","Yes",15,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.65,270.6,"No","12-18","15-30","<1000",0
"1576","2003-CKLOR","Male","No","No","No",66,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","No","Electronic check",99.5,6710.5,"Yes","60+","95+","6000+",1
"1577","0993-OSGPT","Female","Yes","Yes","No",68,"Yes","No","DSL","No","Yes","Yes","Yes","No","No","One year","Yes","Bank transfer (automatic)",60.65,3975.9,"No","60+","45-70","2000-4000",0
"1578","9254-RBFON","Female","No","Yes","Yes",17,"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",98.6,1704.95,"Yes","12-18","95+","1000-2000",1
"1579","1205-WNWPJ","Female","No","No","No",7,"Yes","No","DSL","No","No","No","Yes","Yes","No","Month-to-month","Yes","Mailed check",59.5,415.95,"Yes","7-11","45-70","<1000",1
"1580","9391-EOYLI","Male","Yes","Yes","No",12,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",80.45,950.2,"Yes","12-18","80-95","<1000",1
"1581","7108-DGVUU","Female","Yes","Yes","No",21,"Yes","Yes","DSL","No","Yes","Yes","No","No","Yes","One year","No","Bank transfer (automatic)",71.7,1497.05,"No","19-24","70-80","1000-2000",0
"1583","5127-BZENZ","Female","No","Yes","Yes",56,"Yes","Yes","DSL","Yes","No","No","No","Yes","No","One year","No","Bank transfer (automatic)",65.2,3512.15,"No","25-60","45-70","2000-4000",0
"1584","2720-FVBQP","Female","No","Yes","Yes",6,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",48.95,273.25,"No","3-6","45-70","<1000",0
"1586","4522-XRWWI","Male","No","Yes","No",42,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","One year","No","Credit card (automatic)",80.45,3375.9,"No","25-60","80-95","2000-4000",0
"1587","3766-EJLFL","Female","No","Yes","Yes",68,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",109.05,7508.55,"No","60+","95+","6000+",0
"1588","5939-SXWHM","Male","No","Yes","Yes",48,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",26.3,1245.05,"No","25-60","15-30","1000-2000",0
"1589","8152-UOBNY","Female","Yes","No","No",50,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","Yes","Electronic check",106.8,5347.95,"No","25-60","95+","4000-6000",0
"1590","7351-KYHQH","Female","Yes","No","No",7,"Yes","No","DSL","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",64.95,493.65,"No","7-11","45-70","<1000",0
"1591","7643-RCHXS","Female","No","Yes","Yes",63,"Yes","No","No","No","No","No","No","No","No","Two year","No","Electronic check",19.35,1263.85,"No","60+","15-30","1000-2000",0
"1592","8246-SHFGA","Male","No","No","No",17,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",21.1,385.55,"No","12-18","15-30","<1000",0
"1593","8387-MOJJT","Female","No","Yes","Yes",42,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",77.95,3384,"Yes","25-60","70-80","2000-4000",1
"1594","0620-XEFWH","Male","No","Yes","Yes",4,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",18.85,84.2,"No","3-6","15-30","<1000",0
"1595","6485-QXWWE","Female","No","No","Yes",62,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",26,1638.7,"No","60+","15-30","1000-2000",0
"1596","2761-OCIAX","Male","Yes","No","No",2,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.7,165.4,"Yes","< 3","70-80","<1000",1
"1597","7321-VGNKU","Female","No","Yes","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.35,120.25,"No","< 3","70-80","<1000",0
"1598","5327-CNLUQ","Male","No","Yes","No",48,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","No","Two year","Yes","Bank transfer (automatic)",96.9,4473.45,"No","25-60","95+","4000-6000",0
"1599","7552-KEYGT","Male","No","Yes","No",27,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",19.55,520.55,"No","25-60","15-30","<1000",0
"1600","5816-JMLGY","Female","No","Yes","Yes",70,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",80.4,5717.85,"No","60+","80-95","4000-6000",0
"1601","3068-OMWZA","Male","Yes","No","No",1,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",88.8,88.8,"Yes","< 3","80-95","<1000",1
"1602","2927-QRRQV","Male","No","Yes","No",46,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","One year","Yes","Electronic check",94.65,4312.5,"No","25-60","80-95","4000-6000",0
"1603","6032-KRXXO","Male","No","No","No",30,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",90.25,2755.35,"Yes","25-60","80-95","2000-4000",1
"1604","7459-RRWQZ","Female","No","No","No",15,"Yes","Yes","DSL","Yes","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",64.65,994.55,"Yes","12-18","45-70","<1000",1
"1605","6265-SXWBU","Male","No","Yes","Yes",69,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","One year","No","Credit card (automatic)",95.75,6511.25,"No","60+","95+","6000+",0
"1606","7941-RCJOW","Male","No","No","No",65,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",19.55,1218.65,"No","60+","15-30","1000-2000",0
"1607","6374-NTQLP","Male","Yes","Yes","Yes",72,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",104.1,7447.7,"No","60+","95+","6000+",0
"1608","4154-AQUGT","Male","Yes","Yes","No",13,"Yes","No","Fiber optic","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",89.05,1169.35,"Yes","12-18","80-95","1000-2000",1
"1609","2387-KDZQY","Male","No","No","No",17,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Mailed check",20.1,279.5,"No","12-18","15-30","<1000",0
"1610","3584-WKTTW","Male","No","Yes","No",51,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",111.55,5720.35,"No","25-60","95+","4000-6000",0
"1611","3399-BMLVW","Male","No","Yes","Yes",51,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","No","Credit card (automatic)",60.5,3121.45,"No","25-60","45-70","2000-4000",0
"1612","1971-DTCZB","Female","No","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",90.95,6468.6,"No","60+","80-95","6000+",0
"1613","3092-IGHWF","Male","No","Yes","Yes",67,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","One year","No","Electronic check",87.4,5918.8,"Yes","60+","80-95","4000-6000",1
"1614","3374-PZLXD","Male","No","No","No",34,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.7,675.6,"No","25-60","15-30","<1000",0
"1616","2812-REYAT","Female","No","Yes","No",49,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Bank transfer (automatic)",20.05,923.1,"No","25-60","15-30","<1000",0
"1617","6518-PPLMZ","Male","No","Yes","Yes",53,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",19.4,1110.35,"No","25-60","15-30","1000-2000",0
"1618","4939-KYYPY","Male","No","No","No",27,"Yes","Yes","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Electronic check",59.45,1611.65,"No","25-60","45-70","1000-2000",0
"1619","8017-LXHFA","Female","Yes","No","No",23,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.75,2293.6,"Yes","19-24","80-95","2000-4000",1
"1620","5930-GBIWP","Male","No","No","No",69,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Credit card (automatic)",81.5,5553.25,"No","60+","80-95","4000-6000",0
"1622","6352-TWCAU","Female","No","No","No",35,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",86.45,3029.1,"Yes","25-60","80-95","2000-4000",1
"1623","2361-UPSND","Female","No","Yes","No",46,"Yes","No","DSL","Yes","Yes","No","Yes","No","Yes","One year","No","Mailed check",70.6,3231.05,"No","25-60","70-80","2000-4000",0
"1624","6035-RIIOM","Female","No","No","No",54,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",97.2,5129.45,"No","25-60","95+","4000-6000",0
"1625","2929-QNSRW","Female","No","Yes","No",56,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",98.25,5508.35,"Yes","25-60","95+","4000-6000",1
"1626","1262-OPMFY","Female","No","Yes","No",9,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.75,655.9,"Yes","7-11","70-80","<1000",1
"1627","9504-DSHWM","Male","No","No","No",20,"Yes","Yes","DSL","Yes","No","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",59.2,1191.2,"No","19-24","45-70","1000-2000",0
"1628","5035-BVCXS","Male","No","No","No",11,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",75.9,866.4,"No","7-11","70-80","<1000",0
"1629","6267-DCFFZ","Female","Yes","Yes","No",30,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",90.05,2627.2,"No","25-60","80-95","2000-4000",0
"1630","3533-UVMOM","Male","No","Yes","No",68,"Yes","No","DSL","Yes","Yes","Yes","No","No","Yes","Two year","No","Bank transfer (automatic)",70.95,4741.45,"No","60+","70-80","4000-6000",0
"1631","2439-LYPMQ","Male","Yes","Yes","No",38,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",102.6,4009.2,"No","25-60","95+","4000-6000",0
"1632","4248-QPAVC","Female","Yes","Yes","No",17,"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",85.35,1463.45,"Yes","12-18","80-95","1000-2000",1
"1633","1899-VXWXM","Male","No","No","No",48,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",106.1,5082.8,"Yes","25-60","95+","4000-6000",1
"1634","1478-VPOAD","Female","No","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",43.8,43.8,"No","< 3","30-45","<1000",0
"1636","2988-PLAHS","Female","No","No","No",3,"Yes","No","DSL","No","No","Yes","No","Yes","Yes","One year","Yes","Electronic check",69.95,220.45,"No","3-6","45-70","<1000",0
"1637","1371-OJCEK","Female","No","No","No",48,"Yes","Yes","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",24.35,1133.7,"No","25-60","15-30","1000-2000",0
"1639","8883-ANODQ","Female","No","Yes","Yes",68,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Two year","Yes","Credit card (automatic)",84.4,5746.75,"No","60+","80-95","4000-6000",0
"1640","4690-LLKUA","Male","Yes","No","No",17,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45.05,770.6,"Yes","12-18","45-70","<1000",1
"1641","2351-RRBUE","Female","No","Yes","Yes",7,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.65,134.05,"No","7-11","15-30","<1000",0
"1642","5980-BDHPY","Male","No","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",87.1,6230.1,"No","60+","80-95","6000+",0
"1643","1498-DQNRX","Female","No","Yes","No",29,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.85,573.05,"No","25-60","15-30","<1000",0
"1644","9469-WEJBT","Male","No","Yes","No",37,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",90.35,3419.3,"No","25-60","80-95","2000-4000",0
"1645","3331-HQDTW","Female","No","No","No",34,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Mailed check",109.8,3587.25,"Yes","25-60","95+","2000-4000",1
"1646","9490-DFPMD","Female","Yes","No","No",42,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",84.65,3541.35,"Yes","25-60","80-95","2000-4000",1
"1647","2581-VKIRT","Female","No","Yes","Yes",59,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","No","Mailed check",65.5,3801.3,"No","25-60","45-70","2000-4000",0
"1648","5442-XSDCW","Male","No","Yes","Yes",11,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",79.5,868.5,"Yes","7-11","70-80","<1000",1
"1649","7426-WEIJX","Male","Yes","Yes","Yes",60,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",80.95,4859.1,"No","25-60","80-95","4000-6000",0
"1650","2851-MMUTZ","Female","No","No","No",27,"Yes","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","Yes","Mailed check",56.15,1439.35,"No","25-60","45-70","1000-2000",0
"1651","3049-NDXFL","Female","No","No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Mailed check",85.8,85.8,"Yes","< 3","80-95","<1000",1
"1652","8580-AECUZ","Male","Yes","No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.1,79.1,"Yes","< 3","70-80","<1000",1
"1654","6625-FLENO","Male","No","Yes","No",58,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",20.75,1185.95,"No","25-60","15-30","1000-2000",0
"1655","2967-MXRAV","Male","No","Yes","Yes",1,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",18.8,18.8,"No","< 3","15-30","<1000",0
"1656","7963-GQRMY","Female","No","Yes","Yes",3,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",44.3,134.5,"Yes","3-6","30-45","<1000",1
"1657","8189-HBVRW","Female","No","No","No",53,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","No","Electronic check",90.8,4921.2,"No","25-60","80-95","4000-6000",0
"1658","4163-KIUHY","Male","No","No","No",35,"Yes","Yes","No","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",25.6,901.25,"No","25-60","15-30","<1000",0
"1659","1228-FZFRV","Male","No","Yes","Yes",50,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Month-to-month","No","Credit card (automatic)",105.95,5341.8,"Yes","25-60","95+","4000-6000",1
"1660","3500-NSDOA","Male","No","Yes","Yes",68,"Yes","Yes","DSL","No","Yes","No","Yes","No","Yes","Two year","No","Credit card (automatic)",70.8,4859.95,"No","60+","70-80","4000-6000",0
"1661","1171-TYKUR","Male","No","Yes","No",47,"Yes","Yes","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",25.4,1139.2,"No","25-60","15-30","1000-2000",0
"1662","3761-FLYZI","Female","Yes","Yes","No",65,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",108.8,7082.45,"No","60+","95+","6000+",0
"1663","2058-DCJBE","Male","No","No","No",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.75,324.6,"Yes","3-6","45-70","<1000",1
"1664","5364-XYIRR","Male","No","Yes","No",51,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.65,4812.75,"Yes","25-60","80-95","4000-6000",1
"1665","4829-AUOAX","Female","No","No","No",46,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",96.05,4399.5,"Yes","25-60","95+","4000-6000",1
"1666","1219-NNDDO","Female","No","No","No",9,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.85,663.55,"No","7-11","70-80","<1000",0
"1667","8388-DMKAE","Female","No","No","No",8,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",20.25,174.65,"No","7-11","15-30","<1000",0
"1668","4403-BWPAY","Male","No","No","No",14,"Yes","Yes","No","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",24.8,321.7,"No","12-18","15-30","<1000",0
"1669","9659-QEQSY","Female","No","No","No",45,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",115.65,5125.5,"No","25-60","95+","4000-6000",0
"1670","5405-ZMYXQ","Female","No","No","No",8,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",74.6,548.9,"No","7-11","70-80","<1000",0
"1671","5047-LHVLY","Male","Yes","No","Yes",1,"Yes","No","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",50.15,50.15,"Yes","< 3","45-70","<1000",1
"1672","1442-OKRJE","Male","No","Yes","Yes",66,"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",103.15,7031.3,"No","60+","95+","6000+",0
"1673","4737-AQCPU","Male","No","Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Credit card (automatic)",72.1,5016.65,"No","60+","70-80","4000-6000",0
"1674","9158-VCTQB","Female","No","Yes","No",41,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",113.6,4594.95,"Yes","25-60","95+","4000-6000",1
"1675","2808-CHTDM","Female","No","Yes","Yes",23,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",25.1,611.45,"No","19-24","15-30","<1000",0
"1676","6311-UEUME","Female","No","No","No",29,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",78.9,2384.15,"Yes","25-60","70-80","2000-4000",1
"1677","0793-TWELN","Female","No","No","No",4,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",80.15,319.85,"No","3-6","80-95","<1000",0
"1678","3283-WCWXT","Male","No","Yes","Yes",6,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",25.4,153.3,"No","3-6","15-30","<1000",0
"1679","1060-ENTOF","Female","Yes","Yes","No",67,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",105.4,7035.6,"No","60+","95+","6000+",0
"1680","0999-QXNSA","Male","Yes","No","Yes",7,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",45.75,344.2,"No","7-11","45-70","<1000",0
"1681","5451-MHQOF","Male","No","Yes","Yes",56,"Yes","Yes","No","No","No","No","No","No","No","One year","Yes","Mailed check",24.45,1431.65,"No","25-60","15-30","1000-2000",0
"1682","4836-WNFNO","Female","No","Yes","No",72,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",25,1849.2,"No","60+","15-30","1000-2000",0
"1683","9225-BZLNZ","Male","No","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",85.25,6083.1,"No","60+","80-95","6000+",0
"1684","0354-VXMJC","Male","No","Yes","Yes",23,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.6,426.65,"No","19-24","15-30","<1000",0
"1685","4422-QVIJA","Female","No","No","Yes",35,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",50.15,1655.35,"No","25-60","45-70","1000-2000",0
"1686","9365-SRSZE","Male","Yes","Yes","No",27,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.55,1943.9,"No","25-60","70-80","1000-2000",0
"1687","6839-ITVZJ","Female","No","Yes","Yes",26,"Yes","Yes","DSL","No","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check",60.05,1616.15,"Yes","25-60","45-70","1000-2000",1
"1688","8332-OSJDW","Male","No","Yes","Yes",12,"Yes","Yes","No","No","No","No","No","No","No","One year","No","Mailed check",26.4,314.95,"No","12-18","15-30","<1000",0
"1689","4735-BJKOU","Female","No","No","No",40,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",20.15,804.85,"No","25-60","15-30","<1000",0
"1691","5740-YHGTW","Male","No","Yes","Yes",70,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",97.55,6669.05,"No","60+","95+","6000+",0
"1692","8917-SZTTJ","Male","No","Yes","Yes",60,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.65,1161.75,"No","25-60","15-30","1000-2000",0
"1694","7359-WWYJV","Male","No","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",114.45,8375.05,"No","60+","95+","6000+",0
"1696","4906-ZHGPK","Male","No","Yes","Yes",54,"Yes","Yes","DSL","No","Yes","No","Yes","Yes","No","One year","Yes","Electronic check",70.7,3770,"No","25-60","70-80","2000-4000",0
"1697","8593-WHYHV","Male","No","No","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.3,264.8,"Yes","3-6","80-95","<1000",1
"1698","3795-GWTRD","Female","No","Yes","Yes",63,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",75.55,4707.85,"No","60+","70-80","4000-6000",0
"1699","1298-PHBTI","Male","No","Yes","Yes",71,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Two year","Yes","Electronic check",84.8,6152.4,"No","60+","80-95","6000+",0
"1700","6223-DHJGV","Female","No","No","No",42,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Mailed check",20.65,958.1,"No","25-60","15-30","<1000",0
"1701","6961-MJKBO","Male","No","No","No",47,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",20.45,943,"No","25-60","15-30","<1000",0
"1702","6097-EQISJ","Female","No","Yes","Yes",66,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",102.45,6615.15,"Yes","60+","95+","6000+",1
"1703","4423-YLHDV","Female","No","Yes","No",21,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",104.4,2200.25,"Yes","19-24","95+","2000-4000",1
"1705","0107-YHINA","Male","No","No","Yes",1,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.75,99.75,"Yes","< 3","95+","<1000",1
"1706","4918-FYJNT","Female","Yes","Yes","No",55,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No","Month-to-month","No","Electronic check",90.45,5044.8,"No","25-60","80-95","4000-6000",0
"1707","0727-BNRLG","Male","No","No","No",69,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",97.65,6743.55,"No","60+","95+","6000+",0
"1708","4854-CIDCF","Female","Yes","No","No",3,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Electronic check",73.85,196.4,"No","3-6","70-80","<1000",0
"1709","8640-SDGKB","Male","No","No","No",4,"Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",74.4,299.7,"Yes","3-6","70-80","<1000",1
"1710","3280-MRDOF","Male","Yes","No","No",30,"Yes","Yes","DSL","No","No","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",69.1,2093.9,"No","25-60","45-70","2000-4000",0
"1711","6435-SRWBJ","Female","No","No","No",5,"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","No","Month-to-month","Yes","Electronic check",82.75,417.75,"No","3-6","80-95","<1000",0
"1712","9964-WBQDJ","Female","No","Yes","No",71,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",24.4,1725.4,"No","60+","15-30","1000-2000",0
"1713","6303-KFWSL","Female","No","No","No",29,"Yes","Yes","DSL","No","Yes","No","No","No","No","One year","Yes","Electronic check",55.25,1620.2,"No","25-60","45-70","1000-2000",0
"1714","1702-CCFNJ","Male","No","Yes","No",52,"Yes","Yes","DSL","No","Yes","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",61.35,3169.55,"No","25-60","45-70","2000-4000",0
"1715","8932-CZHRQ","Male","No","No","No",68,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","Yes","One year","No","Credit card (automatic)",76.75,5233.25,"No","60+","70-80","4000-6000",0
